tag,avg_rating,rating_count
vibrant,4.3,35
ambient,4.3,10
visually amazing,4.3,10
neo-realism,4.3,15
plot wending,4.3,10
tap dance,4.3,15
grace kelly,4.3,80
gang brawls,4.3,10
religious oppression,4.3,10
hunter s. thompson,4.3,55
oscar (best writing - screenplay written directly for the screen),4.3,55
about our dreams,4.3,10
mclovin,4.3,10
informatics,4.3,60
montgomery clift,4.3,10
sad-happy,4.3,10
crazy music,4.3,10
tolkien,4.299731182795699,372
marlon brando,4.29954954954955,222
existential,4.298329355608592,419
scientific,4.298136645962733,161
great humor,4.2976190476190474,42
sociology,4.2976190476190474,42
psychology,4.297534013605442,5880
non-stop,4.296875,96
experience,4.296296296296297,27
colors,4.295774647887324,71
cool,4.2952755905511815,127
exceptional acting,4.2942857142857145,175
space combat,4.294117647058823,17
hardship,4.294117647058823,17
encouraging,4.294117647058823,17
original plot,4.293743890518084,1023
complex,4.293706293706293,429
amazing photography,4.293333333333333,225
class struggle,4.2926829268292686,82
underrated,4.292237442922374,438
prison drama,4.291666666666667,24
joanna lumley,4.291666666666667,12
closure,4.291666666666667,12
existentialism,4.2905982905982905,1287
dark movie,4.290322580645161,31
delightful,4.290322580645161,31
maintaining illusion,4.290322580645161,31
humanism,4.290123456790123,81
original horror,4.290123456790123,81
suspence,4.2894736842105265,19
smart comedy,4.2890625,64
michel gondry,4.288888888888889,90
tricky,4.288888888888889,45
social satire,4.288778877887789,303
gabriel byrne,4.288461538461538,26
east germany,4.288194444444445,144
great special effects,4.2875,40
teacher student,4.2875,40
psychopathy,4.287383177570093,214
alfonso cuarón,4.287234042553192,47
movies,4.287037037037037,54
terrence malick,4.286885245901639,61
gene wilder,4.286764705882353,136
labor,4.285714285714286,14
tearjerker,4.285714285714286,84
talent,4.285714285714286,35
crime fantasy,4.285714285714286,14
social critique,4.285714285714286,14
world within a world,4.285714285714286,14
well-written,4.285714285714286,21
billy dee williams,4.285714285714286,14
twists & turns,4.285258964143426,1255
uplifting,4.284595300261096,383
strong score,4.284313725490196,51
butterfly effect,4.283898305084746,118
beautiful music,4.2835820895522385,67
accurate,4.283333333333333,30
imagination,4.282657657657658,888
ian holm,4.282608695652174,23
beautiful color,4.28125,16
playful,4.28125,16
realistic characters,4.28125,16
live music,4.28125,16
happiness,4.28125,144
based in real story,4.28125,16
thrilling,4.28125,240
legal system,4.28125,16
greta gerwig,4.280701754385965,57
math,4.280701754385965,228
quotable,4.278985507246377,828
space epic,4.278846153846154,104
space exploration,4.278735632183908,174
nonlinear,4.278445512820513,2496
wallstreet,4.277777777777778,63
bold,4.277777777777778,18
jedi,4.277310924369748,119
moving,4.277070063694268,314
cerebral,4.275948103792415,1002
powersuit,4.275862068965517,29
adolescence is hell,4.275862068965517,29
high fantasy,4.275380710659898,394
kind,4.275,20
mozart,4.275,40
want to own,4.275,40
fascinating,4.274193548387097,62
english literature,4.273809523809524,42
honest,4.273408239700374,267
great music,4.273049645390071,141
wordless,4.2727272727272725,11
love for family,4.2727272727272725,11
clever concept,4.2727272727272725,22
tropical,4.2727272727272725,11
vince gilligan,4.2727272727272725,11
father figures,4.2727272727272725,11
subtle humor,4.2727272727272725,44
want to see again,4.272471910112359,178
action spoof,4.272058823529412,68
powerful,4.271428571428571,105
gonzo,4.270833333333333,24
sven's to see list,4.270833333333333,24
hidden gem,4.270833333333333,24
made me laugh,4.270833333333333,24
unusual plot structure,4.270588235294118,85
positive,4.270491803278689,61
innovation,4.27,50
meaning of life,4.269557823129252,588
financial collapse,4.269230769230769,13
innovative,4.269230769230769,312
beach boys,4.269230769230769,13
100 greatest movies,4.269230769230769,52
sense of futility,4.269230769230769,13
quietly beautiful,4.267857142857143,28
geeky,4.267094017094017,234
group psychology,4.26685393258427,178
good score,4.266666666666667,15
modern,4.266666666666667,15
creative plot,4.266233766233766,77
yorgos lanthimos,4.26595744680851,47
entirely dialogue,4.265151515151516,66
swashbuckling,4.264705882352941,17
stapler,4.264705882352941,17
matthew macfadyen,4.264705882352941,17
all-male cast,4.264705882352941,51
wordplay,4.2631578947368425,19
beautifully shot,4.2631578947368425,38
urban violence,4.2631578947368425,19
non-closed ending,4.2631578947368425,19
alejandro gonzalez inarritu,4.261904761904762,21
high stakes,4.261904761904762,21
quantum physics,4.261904761904762,21
heartbreaking,4.261415525114155,438
moritz bleibtreu,4.260869565217392,23
memorable,4.260869565217392,23
positive portrayal of immigrants,4.260416666666667,48
lolita theme,4.26,25
storytelling,4.259532595325953,813
aamir khan,4.258620689655173,29
directors to watch,4.257142857142857,35
scifi cult,4.256756756756757,111
class warfare,4.256410256410256,39
dark fairy tale,4.256410256410256,39
arthur c. clarke,4.2560975609756095,41
continuous shot,4.2560975609756095,41
multiple dimensions,4.255813953488372,43
heartwarming,4.255476451259584,1826
introspective,4.255474452554744,137
factual,4.253333333333333,75
imdb top 250,4.2527352297593,2285
good adaptation,4.252427184466019,103
beautiful animation,4.252336448598131,107
bittersweet,4.252069917203312,3261
oscar winner,4.250877192982456,285
hepburn and tracy,4.25,10
fantastical imagery,4.25,10
help others,4.25,14
space craft,4.25,14
fresh storyline,4.25,14
ski mask,4.25,10
like a video game,4.25,20
likeable love story,4.25,12
single set production,4.25,10
understandable characters,4.25,16
keeps you guessing,4.25,32
kickass,4.25,16
toplist18,4.25,18
natasha lyonne,4.25,14
stammering,4.25,16
plantation,4.25,10
rug,4.25,12
robert aldrich,4.25,10
alejandro jodorowsky,4.25,24
thomas vinterberg,4.25,20
lee van cleef,4.25,46
george c. scott,4.25,28
emotional struggle,4.25,22
series ending,4.25,12
le mans,4.25,10
john nash,4.25,18
emotional and heroic,4.25,16
several short films,4.25,14
jonny greenwood,4.25,10
romantic and sweet,4.25,20
author:agatha christie,4.25,12
celtic,4.25,30
fernando meirelles,4.25,10
oscar 2012,4.25,10
industrial progress,4.25,22
hustle,4.25,18
andy kaufman,4.25,14
peter mayhew,4.25,10
improv,4.25,12
sea battle,4.25,14
best of the series so far,4.25,10
mackenzie foy,4.25,14
zany,4.25,10
film-noir,4.25,18
mentali illness,4.25,36
great cinematography,4.2492857142857146,700
unique,4.249171270718232,905
owned,4.248737373737374,396
great concept,4.246666666666667,75
twist ending,4.246566944580676,8156
strong acting,4.245033112582782,151
ethnic conflict,4.244186046511628,43
nonlinear storyline,4.2439024390243905,41
psychological,4.2438926712054466,4994
twisted ending,4.243169398907104,183
shenanigans,4.242857142857143,35
chan-wook park,4.242647058823529,136
ennio morricone,4.24251497005988,334
alan turing,4.242424242424242,132
surrealist humor,4.242424242424242,33
statistics,4.241666666666666,60
villain played by lead actor,4.241379310344827,29
lovely,4.241379310344827,29
ambient music,4.241071428571429,56
brilliant ending,4.2407407407407405,27
nightmarish,4.2407407407407405,27
growth,4.2407407407407405,27
informative,4.2405063291139244,79
wired 50 greatest soundtracks,4.24,50
oscar nominee: sound editing,4.24,25
lord of the rings,4.239726027397261,73
sound design,4.23943661971831,213
atmospheric,4.239290036304961,12395
social rejection,4.239130434782608,46
irvine welsh,4.239130434782608,23
funny as hell,4.238938053097345,226
jean-pierre jeunet,4.2384615384615385,65
hope,4.237654320987654,324
conversation,4.237430167597766,179
subconscious,4.237288135593221,59
heroic,4.237037037037037,135
hilarious,4.236962750716333,1745
standout performance,4.2368421052631575,19
truth,4.236111111111111,72
non-linear,4.2354651162790695,172
saturn award (best writing),4.235294117647059,34
apatow productions,4.235294117647059,17
from the view of children,4.235294117647059,17
what is happiness?,4.235294117647059,51
distopia,4.234375,32
anti-corporation,4.23404255319149,47
enigmatic,4.23377581120944,678
life philosophy,4.233766233766234,77
counterespionage,4.233333333333333,15
belivable science,4.233333333333333,15
hallucinatory,4.233071638861629,1019
get,4.232758620689655,58
modern fantasy,4.232142857142857,336
moral discussion,4.232142857142857,28
observational cinema,4.230769230769231,13
amazing acting,4.230769230769231,26
bat-shit crazy,4.230769230769231,13
mystic warriors,4.230769230769231,65
realistic sci/fi,4.230769230769231,65
cryptic,4.230769230769231,65
whimsical,4.230061349693251,1304
bounty hunters,4.228571428571429,70
milos forman,4.228571428571429,35
subtle,4.228395061728395,81
sad but good,4.227979274611399,193
monty python,4.22741935483871,310
respect,4.2272727272727275,22
late coming of age,4.2272727272727275,11
visually stuning,4.2272727272727275,11
brasil,4.2272727272727275,11
mystery murder,4.2272727272727275,11
feeling of helplessness,4.2272727272727275,22
child-like protagonist,4.2272727272727275,11
luis buã±uel,4.2272727272727275,11
jean arthur,4.2272727272727275,11
pirate radio,4.2272727272727275,22
fine art,4.2272727272727275,22
cab driver,4.2272727272727275,11
emotional rollercoaster,4.2272727272727275,11
gorgeous,4.2272727272727275,11
sound track,4.2272727272727275,11
quentin tarantino,4.2272286821705425,2064
engaging,4.226666666666667,75
christoph waltz,4.2264808362369335,287
code breaking,4.226277372262774,137
julie delpy,4.226027397260274,73
action-packed,4.225806451612903,31
